Metric,Value
design__instance__area__class:fill_cell,19148.7
timing__unannotated_net__count__corner:nom_tt_025C_3v30,7
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:min_tt_025C_3v30,0
design__max_fanout_violation__count__corner:min_tt_025C_3v30,0
design__max_cap_violation__count__corner:min_tt_025C_3v30,1
clock__skew__worst_hold__corner:min_tt_025C_3v30,-0.2548411553913708
clock__skew__worst_setup__corner:min_tt_025C_3v30,0.25301417233037704
timing__hold__ws__corner:min_tt_025C_3v30,0.1614609047718386
timing__setup__ws__corner:min_tt_025C_3v30,14.401512390255839
timing__hold__tns__corner:min_tt_025C_3v30,0.0
timing__setup__tns__corner:min_tt_025C_3v30,0.0
timing__hold__wns__corner:min_tt_025C_3v30,0
timing__setup__wns__corner:min_tt_025C_3v30,0.0
timing__hold_vio__count__corner:min_tt_025C_3v30,0
timing__hold_r2r__ws__corner:min_tt_025C_3v30,0.161461
timing__hold_r2r_vio__count__corner:min_tt_025C_3v30,0
timing__setup_vio__count__corner:min_tt_025C_3v30,0
timing__setup_r2r__ws__corner:min_tt_025C_3v30,17.666550
timing__setup_r2r_vio__count__corner:min_tt_025C_3v30,0
timing__unannotated_net__count__corner:min_tt_025C_3v30,7
timing__unannotated_net_filtered__count__corner:min_tt_025C_3v30,0
design__max_slew_violation__count__corner:max_tt_025C_3v30,0
design__max_fanout_violation__count__corner:max_tt_025C_3v30,0
design__max_cap_violation__count__corner:max_tt_025C_3v30,1
clock__skew__worst_hold__corner:max_tt_025C_3v30,-0.2562210516277036
clock__skew__worst_setup__corner:max_tt_025C_3v30,0.2543762494866606
timing__hold__ws__corner:max_tt_025C_3v30,0.162243278959419
timing__setup__ws__corner:max_tt_025C_3v30,14.387509368894815
timing__hold__tns__corner:max_tt_025C_3v30,0.0
timing__setup__tns__corner:max_tt_025C_3v30,0.0
timing__hold__wns__corner:max_tt_025C_3v30,0
timing__setup__wns__corner:max_tt_025C_3v30,0.0
