Metric,Value
design__critical_disconnected_pin__count,0
route__wirelength__max,306.82
design__instance__count__class:fill_cell,120
design__instance__area__class:fill_cell,884.666
timing__unannotated_net__count__corner:nom_tt_025C_5v00,0
timing__unannotated_net_filtered__count__corner:nom_tt_025C_5v00,0
timing__unannotated_net__count__corner:nom_ss_125C_4v50,0
timing__unannotated_net_filtered__count__corner:nom_ss_125C_4v50,0
timing__unannotated_net__count__corner:nom_ff_n40C_5v50,0
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count__corner:min_tt_025C_5v00,0
design__max_fanout_violation__count__corner:min_tt_025C_5v00,0
design__max_cap_violation__count__corner:min_tt_025C_5v00,0
clock__skew__worst_hold__corner:min_tt_025C_5v00,0.0
clock__skew__worst_setup__corner:min_tt_025C_5v00,0.0
timing__hold__ws__corner:min_tt_025C_5v00,1.0000000433293989E+39
timing__setup__ws__corner:min_tt_025C_5v00,1.0000000433293989E+39
timing__hold__tns__corner:min_tt_025C_5v00,0.0
timing__setup__tns__corner:min_tt_025C_5v00,0.0
timing__hold__wns__corner:min_tt_025C_5v00,0
timing__setup__wns__corner:min_tt_025C_5v00,0.0
timing__hold_vio__count__corner:min_tt_025C_5v00,0
timing__hold_r2r__ws__corner:min_tt_025C_5v00,Infinity
timing__hold_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__setup_vio__count__corner:min_tt_025C_5v00,0
timing__setup_r2r__ws__corner:min_tt_025C_5v00,Infinity
timing__setup_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__unannotated_net__count__corner:min_tt_025C_5v00,0
timing__unannotated_net_filtered__count__corner:min_tt_025C_5v00,0
design__max_slew_violation__count__corner:min_ss_125C_4v50,0
design__max_fanout_violation__count__corner:min_ss_125C_4v50,0
design__max_cap_violation__count__corner:min_ss_125C_4v50,0
clock__skew__worst_hold__corner:min_ss_125C_4v50,0.0
clock__skew__worst_setup__corner:min_ss_125C_4v50,0.0
timing__hold__ws__corner:min_ss_125C_4v50,1.0000000433293989E+39
timing__setup__ws__corner:min_ss_125C_4v50,1.0000000433293989E+39
timing__hold__tns__corner:min_ss_125C_4v50,0.0
timing__setup__tns__corner:min_ss_125C_4v50,0.0
timing__hold__wns__corner:min_ss_125C_4v50,0
timing__setup__wns__corner:min_ss_125C_4v50,0.0
timing__hold_vio__count__corner:min_ss_125C_4v50,0
timing__hold_r2r__ws__corner:min_ss_125C_4v50,Infinity
timing__hold_r2r_vio__count__corner:min_ss_125C_4v50,0
timing__setup_vio__count__corner:min_ss_125C_4v50,0
timing__setup_r2r__ws__corner:min_ss_125C_4v50,Infinity
timing__setup_r2r_vio__count__corner:min_ss_125C_4v50,0
timing__unannotated_net__count__corner:min_ss_125C_4v50,0
timing__unannotated_net_filtered__count__corner:min_ss_125C_4v50,0
design__max_slew_violation__count__corner:min_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:min_ff_n40C_5v50,0
design__max_cap_violation__count__corner:min_ff_n40C_5v50,0
clock__skew__worst_hold__corner:min_ff_n40C_5v50,0.0
clock__skew__worst_setup__corner:min_ff_n40C_5v50,0.0
timing__hold__ws__corner:min_ff_n40C_5v50,1.0000000433293989E+39
timing__setup__ws__corner:min_ff_n40C_5v50,1.0000000433293989E+39
timing__hold__tns__corner:min_ff_n40C_5v50,0.0
timing__setup__tns__corner:min_ff_n40C_5v50,0.0
timing__hold__wns__corner:min_ff_n40C_5v50,0
timing__setup__wns__corner:min_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:min_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:min_ff_n40C_5v50,Infinity
timing__hold_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:min_ff_n40C_5v50,Infinity
timing__setup_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__unannotated_net__count__corner:min_ff_n40C_5v50,0
timing__unannotated_net_filtered__count__corner:min_ff_n40C_5v50,0
design__max_slew_violation__count__corner:max_tt_025C_5v00,0
design__max_fanout_violation__count__corner:max_tt_025C_5v00,0
design__max_cap_violation__count__corner:max_tt_025C_5v00,0
clock__skew__worst_hold__corner:max_tt_025C_5v00,0.0
clock__skew__worst_setup__corner:max_tt_025C_5v00,0.0
timing__hold__ws__corner:max_tt_025C_5v00,1.0000000433293989E+39
timing__setup__ws__corner:max_tt_025C_5v00,1.0000000433293989E+39
timing__hold__tns__corner:max_tt_025C_5v00,0.0
timing__setup__tns__corner:max_tt_025C_5v00,0.0
timing__hold__wns__corner:max_tt_025C_5v00,0
timing__setup__wns__corner:max_tt_025C_5v00,0.0
timing__hold_vio__count__corner:max_tt_025C_5v00,0
timing__hold_r2r__ws__corner:max_tt_025C_5v00,Infinity
timing__hold_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__setup_vio__count__corner:max_tt_025C_5v00,0
timing__setup_r2r__ws__corner:max_tt_025C_5v00,Infinity
timing__setup_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__unannotated_net__count__corner:max_tt_025C_5v00,0
timing__unannotated_net_filtered__count__corner:max_tt_025C_5v00,0
design__max_slew_violation__count__corner:max_ss_125C_4v50,0
design__max_fanout_violation__count__corner:max_ss_125C_4v50,0
design__max_cap_violation__count__corner:max_ss_125C_4v50,0
clock__skew__worst_hold__corner:max_ss_125C_4v50,0.0
clock__skew__worst_setup__corner:max_ss_125C_4v50,0.0
timing__hold__ws__corner:max_ss_125C_4v50,1.0000000433293989E+39
timing__setup__ws__corner:max_ss_125C_4v50,1.0000000433293989E+39
timing__hold__tns__corner:max_ss_125C_4v50,0.0
timing__setup__tns__corner:max_ss_125C_4v50,0.0
timing__hold__wns__corner:max_ss_125C_4v50,0
timing__setup__wns__corner:max_ss_125C_4v50,0.0
timing__hold_vio__count__corner:max_ss_125C_4v50,0
timing__hold_r2r__ws__corner:max_ss_125C_4v50,Infinity
timing__hold_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__setup_vio__count__corner:max_ss_125C_4v50,0
timing__setup_r2r__ws__corner:max_ss_125C_4v50,Infinity
timing__setup_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__unannotated_net__count__corner:max_ss_125C_4v50,0
timing__unannotated_net_filtered__count__corner:max_ss_125C_4v50,0
design__max_slew_violation__count__corner:max_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:max_ff_n40C_5v50,0
design__max_cap_violation__count__corner:max_ff_n40C_5v50,0
clock__skew__worst_hold__corner:max_ff_n40C_5v50,0.0
clock__skew__worst_setup__corner:max_ff_n40C_5v50,0.0
timing__hold__ws__corner:max_ff_n40C_5v50,1.0000000433293989E+39
timing__setup__ws__corner:max_ff_n40C_5v50,1.0000000433293989E+39
timing__hold__tns__corner:max_ff_n40C_5v50,0.0
timing__setup__tns__corner:max_ff_n40C_5v50,0.0
timing__hold__wns__corner:max_ff_n40C_5v50,0
timing__setup__wns__corner:max_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:max_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:max_ff_n40C_5v50,Infinity
timing__hold_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:max_ff_n40C_5v50,Infinity
timing__setup_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net_filtered__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count,0
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_tt_025C_5v00,4.99943
design_powergrid__drop__average__net:VDD__corner:nom_tt_025C_5v00,4.9996
design_powergrid__drop__worst__net:VDD__corner:nom_tt_025C_5v00,0.000566627
design_powergrid__voltage__worst__net:VSS__corner:nom_tt_025C_5v00,0.000676159
design_powergrid__drop__average__net:VSS__corner:nom_tt_025C_5v00,0.000389078
design_powergrid__drop__worst__net:VSS__corner:nom_tt_025C_5v00,0.000676159
design_powergrid__voltage__worst,0.000676159
design_powergrid__voltage__worst__net:VDD,4.99943
design_powergrid__drop__worst,0.000676159
design_powergrid__drop__worst__net:VDD,0.000566627
design_powergrid__voltage__worst__net:VSS,0.000676159
design_powergrid__drop__worst__net:VSS,0.000676159
ir__voltage__worst,5
ir__drop__avg,0.0004040000000000000079762585425413590201060287654399871826171875
ir__drop__worst,0.00056700000000000001267042026853459901758469641208648681640625
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
